ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
289	9	1	1	0.000000	18.222222	14.222222	0.000000	0.000000	0	23	0
290	72	1	1	0.000000	100.222222	47.555556	0.000000	0.000000	0	147	0
291	1	3	1	0.000000	758.000000	93.000000	0.000000	0.000000	0	501	0
292	90	1	1	0.000000	22.177778	15.044444	0.000000	0.000000	0	58	0
293	5	2	1	0.000000	90.200000	90.200000	0.000000	0.000000	0	64	0
294	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	20	0
295	352	0	0	0.000000	19.971591	17.644886	0.000000	0.000000	0	31	0
296	27	2	2	0.000000	147.666667	32.333333	0.000000	0.000000	0	212	0
297	5	1	1	0.000000	171.600000	38.400000	0.000000	0.000000	0	143	0
298	8	1	2	0.000000	193.000000	40.125000	0.000000	0.000000	0	208	0
299	36	1	2	0.000000	219.277778	57.027778	0.000000	0.000000	0	182	0
300	1	1	2	0.000000	363.000000	142.000000	0.000000	0.000000	0	199	0
301	73	1	1	0.000000	22.821918	9.835616	0.000000	0.000000	0	46	0
302	46	1	1	0.000000	11.152174	7.217391	0.000000	0.000000	0	25	0
303	47	1	0	0.000000	11.617021	5.106383	0.000000	0.000000	0	23	0
304	50	1	1	0.000000	14.360000	12.520000	0.000000	0.000000	0	19	0
305	168	2	0	0.000000	28.261905	14.327381	0.000000	0.000000	0	46	0
306	8	1	1	0.000000	27.125000	6.625000	0.000000	0.000000	0	21	0
307	90	1	2	0.000000	37.788889	14.088889	0.000000	0.000000	0	36	0
308	394	0	0	0.000000	11.639594	11.038071	0.000000	0.000000	0	19	0
309	141	0	0	0.000000	15.617021	14.297872	0.000000	0.000000	0	15	0
310	1	2	2	0.000000	547.000000	117.000000	0.000000	0.000000	0	210	0
311	7	2	2	0.000000	83.571429	72.857143	0.000000	0.000000	0	105	0
312	1	3	2	0.000000	2376.000000	5.000000	0.000000	0.000000	0	2283	0
313	56	1	0	0.000000	13.392857	7.071429	0.000000	0.000000	0	905	0
314	0	2	1	Inf	Inf	Inf	Inf	Inf	0	1193	0
315	4	2	1	0.000000	34.000000	34.000000	0.000000	0.000000	0	24	0
316	19	1	1	0.000000	13.578947	13.000000	0.000000	0.000000	0	10	0
317	31	1	2	0.000000	30.677419	16.387097	0.000000	0.000000	0	20	0
318	98	0	0	0.000000	14.663265	12.622449	0.000000	0.000000	0	12	0
319	4	1	1	0.000000	29.750000	29.750000	0.000000	0.000000	0	35	0
320	4	2	1	0.000000	76.250000	74.000000	0.000000	0.000000	0	83	0
321	90	1	1	0.000000	52.322222	26.688889	0.000000	0.000000	0	68	0
322	1	2	1	0.000000	146.000000	134.000000	0.000000	0.000000	0	142	0
323	1	1	2	0.000000	1737.000000	55.000000	0.000000	0.000000	0	1353	0
324	1	1	4	0.000000	1786.000000	61.000000	0.000000	0.000000	0	1578	0
325	1	3	1	0.000000	1471.000000	63.000000	0.000000	0.000000	0	1310	0
326	1	1	2	0.000000	1667.000000	68.000000	0.000000	0.000000	0	1544	0
327	4	8	2	0.000000	1691.750000	37.750000	0.000000	0.000000	0	1647	0
328	3	2	1	0.000000	76.000000	61.000000	0.000000	0.000000	0	81	0
329	1	1	1	0.000000	59.000000	45.000000	0.000000	0.000000	0	59	0
330	49	2	2	0.000000	45.367347	26.612245	0.000000	0.000000	0	103	0
331	60	0	1	0.000000	38.316667	17.683333	0.000000	0.000000	0	41	0
332	1	1	2	0.000000	1438.000000	36.000000	0.000000	0.000000	0	829	0
333	2	2	3	0.000000	1629.000000	20.000000	0.000000	0.000000	0	1091	0
334	63	1	1	0.000000	46.857143	41.174603	0.000000	0.000000	0	37	0
335	3	1	1	0.000000	62.333333	46.666667	0.000000	0.000000	0	29	0
336	8	1	2	0.000000	97.125000	39.125000	0.000000	0.000000	0	40	0
337	11	1	1	0.000000	34.363636	33.363636	0.000000	0.000000	0	42	0
338	6	1	1	0.000000	18.833333	12.500000	0.000000	0.000000	0	725	0
339	57	1	2	0.000000	18.859649	9.684211	0.000000	0.000000	0	62	0
340	1	1	3	0.000000	1303.000000	111.000000	0.000000	0.000000	0	754	0
341	915	0	0	0.000000	12.795628	10.927869	0.000000	0.000000	0	41	0
342	16	1	1	0.000000	53.187500	30.500000	0.000000	0.000000	0	100	0
343	66	1	1	0.000000	22.424242	9.696970	0.000000	0.000000	0	39	0
344	0	1	3	Inf	Inf	Inf	Inf	Inf	0	509	0
345	26	1	1	0.000000	49.423077	37.961538	0.000000	0.000000	0	84	0
346	3	1	1	0.000000	27.333333	25.333333	0.000000	0.000000	0	28	0
347	8	1	2	0.000000	57.125000	23.750000	0.000000	0.000000	0	79	0
348	22	1	1	0.000000	22.545455	4.727273	0.000000	0.000000	0	38	0
349	5	1	2	0.000000	87.800000	26.200000	0.000000	0.000000	0	89	0
350	62	1	1	0.000000	27.467742	11.000000	0.000000	0.000000	0	31	0
351	11	1	1	0.000000	29.181818	29.181818	0.000000	0.000000	0	17	0
352	2	2	4	0.000000	93.500000	52.500000	0.000000	0.000000	0	41	0
353	10	1	1	0.000000	19.900000	17.800000	0.000000	0.000000	0	10	0
354	521	0	0	0.000000	24.785029	22.389635	0.000000	0.000000	0	47	0
355	14	1	1	0.000000	26.285714	6.428571	0.000000	0.000000	0	30	0
356	16	1	1	0.000000	21.062500	18.687500	0.000000	0.000000	0	32	0
357	1	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	17	0
358	3	1	1	0.000000	21.666667	21.333333	0.000000	0.000000	0	22	0
359	2	3	1	0.000000	379.500000	5.000000	0.000000	0.000000	0	1213	0
360	99	0	1	0.000000	10.939394	8.929293	0.000000	0.000000	0	15	0
361	7	1	2	0.000000	123.571429	16.428571	0.000000	0.000000	0	98	0
362	104	0	0	0.000000	13.865385	10.596154	0.000000	0.000000	0	13	0
363	18	1	1	0.000000	30.333333	29.555556	0.000000	0.000000	0	39	0
364	3	1	1	0.000000	36.000000	35.666667	0.000000	0.000000	0	35	0
365	1	2	1	0.000000	116.000000	110.000000	0.000000	0.000000	0	116	0
366	1	2	1	0.000000	87.000000	76.000000	0.000000	0.000000	0	81	0
367	5	1	1	0.000000	820.400000	261.600000	0.000000	0.000000	0	726	0
368	68	2	3	0.000000	18.147059	15.794118	0.000000	0.000000	0	53	0
369	7	1	1	0.000000	12.571429	12.571429	0.000000	0.000000	0	9	0
370	6	1	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	17	0
371	375	0	0	0.000000	25.850667	21.165333	0.000000	0.000000	0	42	0
372	22	1	2	0.000000	49.090909	22.727273	0.000000	0.000000	0	63	0
373	23	1	1	0.000000	24.739130	18.695652	0.000000	0.000000	0	37	0
374	2	2	2	0.000000	66.500000	16.000000	0.000000	0.000000	0	1662	0
375	7	3	2	0.000000	55.000000	18.142857	0.000000	0.000000	0	59	0
376	5	1	1	0.000000	10.800000	10.800000	0.000000	0.000000	0	16	0
377	7	1	1	0.000000	10.857143	10.857143	0.000000	0.000000	0	13	0
378	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	16	0
379	2	1	1	0.000000	26.500000	25.500000	0.000000	0.000000	0	27	0
380	7	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	14	0
381	14	2	2	0.000000	16.142857	15.857143	0.000000	0.000000	0	50	0
382	2	2	1	0.000000	67.000000	53.000000	0.000000	0.000000	0	66	0
383	11	1	1	0.000000	17.818182	16.909091	0.000000	0.000000	0	1618	0
384	102	1	1	0.000000	18.078431	10.392157	0.000000	0.000000	0	28	0
385	114	0	1	0.000000	13.535088	7.649123	0.000000	0.000000	0	32	0
386	8	1	1	0.000000	17.625000	17.625000	0.000000	0.000000	0	12	0
387	47	1	1	0.000000	18.808511	10.765957	0.000000	0.000000	0	15	0
388	2	2	1	0.000000	65.000000	65.000000	0.000000	0.000000	0	75	0
389	2	1	1	0.000000	12.500000	12.500000	0.000000	0.000000	0	13	0
390	6	1	1	0.000000	14.333333	14.333333	0.000000	0.000000	0	30	0
391	2	1	2	0.000000	58.500000	27.000000	0.000000	0.000000	0	310	0
392	4	2	3	0.000000	83.250000	49.500000	0.000000	0.000000	0	354	0
393	23	1	1	0.000000	14.434783	14.043478	0.000000	0.000000	0	8	0
394	2	1	2	0.000000	182.000000	32.000000	0.000000	0.000000	0	736	0
395	514	0	0	0.000000	19.239300	18.021401	0.000000	0.000000	0	31	0
396	591	0	0	0.000000	13.560068	12.382403	0.000000	0.000000	0	26	0
397	106	0	0	0.000000	11.509434	10.707547	0.000000	0.000000	0	9	0
398	2	2	1	0.000000	51.000000	51.000000	0.000000	0.000000	0	51	0
399	8	1	1	0.000000	45.125000	42.125000	0.000000	0.000000	0	46	0
400	1	1	2	0.000000	65.000000	59.000000	0.000000	0.000000	0	59	0
401	1	1	2	0.000000	104.000000	92.000000	0.000000	0.000000	0	103	0
402	1	2	2	0.000000	133.000000	119.000000	0.000000	0.000000	0	132	0
403	1	2	1	0.000000	108.000000	96.000000	0.000000	0.000000	0	107	0
404	9	1	1	0.000000	31.666667	27.666667	0.000000	0.000000	0	48	0
405	53	1	0	0.000000	17.245283	5.226415	0.000000	0.000000	0	27	0
406	1	1	1	0.000000	157.000000	61.000000	0.000000	0.000000	0	154	0
407	3	1	1	0.000000	31.333333	31.333333	0.000000	0.000000	0	701	0
408	2	1	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	30	0
409	49	1	1	0.000000	17.938776	7.693878	0.000000	0.000000	0	37	0
410	45	1	1	0.000000	24.711111	8.600000	0.000000	0.000000	0	64	0
411	12	1	1	0.000000	67.833333	67.000000	0.000000	0.000000	0	53	0
412	0	1	2	Inf	Inf	Inf	Inf	Inf	0	81	0
413	47	1	1	0.000000	13.659574	9.340426	0.000000	0.000000	0	21	0
414	26	1	1	0.000000	20.846154	12.115385	0.000000	0.000000	0	27	0
415	1	2	3	0.000000	2304.000000	20.000000	0.000000	0.000000	0	2301	0
416	1	1	1	0.000000	88.000000	30.000000	0.000000	0.000000	0	885	0
417	2	3	1	0.000000	759.500000	404.000000	0.000000	0.000000	0	754	0
418	1	2	1	0.000000	716.000000	402.000000	0.000000	0.000000	0	706	0
419	4	2	2	0.000000	695.750000	213.750000	0.000000	0.000000	0	649	0
420	2	3	1	0.000000	671.000000	398.000000	0.000000	0.000000	0	638	0
421	1	2	1	0.000000	627.000000	395.000000	0.000000	0.000000	0	576	0
422	1	2	1	0.000000	262.000000	262.000000	0.000000	0.000000	0	262	0
423	10	1	3	0.000000	287.000000	205.700000	0.000000	0.000000	0	295	0
424	1	2	3	0.000000	335.000000	231.000000	0.000000	0.000000	0	329	0
425	2	1	1	0.000000	303.500000	217.000000	0.000000	0.000000	0	301	0
426	6	1	1	0.000000	21.166667	21.166667	0.000000	0.000000	0	22	0
427	12	1	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	31	0
428	70	1	1	0.000000	27.171429	13.314286	0.000000	0.000000	0	41	0
429	8	1	1	0.000000	23.625000	22.375000	0.000000	0.000000	0	14	0
430	34	1	1	0.000000	28.147059	13.529412	0.000000	0.000000	0	475	0
